AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_2,Class
84809,1104.275,426.5841,254.8761,0.8019,0.9841,0.7634,0.874,0.7703,0.003,0
88907,1257.834,481.4239,243.481,0.8627,0.9425,0.7117,0.7062,0.6989,0.0027,0
92322,1260.796,465.4449,260.75,0.8283,0.9484,0.7076,0.7298,0.7366,0.0028,1
93490,1574.964,429.0784,287.3922,0.7426,0.9363,0.7616,0.4736,0.8041,0.0031,1
63595,1369.751,423.6082,206.1729,0.8736,0.9024,0.7061,0.4259,0.6717,0.0032,0
48509,1020.717,439.9729,143.3477,0.9454,0.9792,0.7156,0.5851,0.5649,0.003,0
62031,1033.151,405.0654,201.6227,0.8673,0.961,0.7328,0.7303,0.6938,0.0033,0
98129,1239.908,470.1041,267.5849,0.8222,0.9868,0.7457,0.8021,0.7519,0.0027,1
87309,1159.882,449.1662,248.0552,0.8337,0.9908,0.7438,0.8155,0.7423,0.0028,1
72519,1069.9611,419.5137,224.9402,0.8441,0.9616,0.7489,0.796,0.7243,0.0031,0
74224,1190.895,459.7732,209.4521,0.8902,0.973,0.6639,0.6577,0.6686,0.0028,0
90941,1208.355,456.3026,257.1601,0.8261,0.9868,0.7675,0.7827,0.7457,0.0028,0
85519,1200.821,480.6819,240.4698,0.8659,0.9254,0.7129,0.7453,0.6865,0.0028,1
79331,1283.311,472.9826,221.2933,0.8838,0.9337,0.7292,0.6053,0.6719,0.0028,0
67297,1135.11,422.0551,206.534,0.8721,0.9607,0.7059,0.6563,0.6936,0.0031,0
65471,1888.229,401.476,215.7959,0.8433,0.91,0.7343,0.2308,0.7192,0.0033,0
63966,1790.7111,401.2134,230.7706,0.818,0.8537,0.6141,0.2507,0.7113,0.0036,0
88471,1222.2321,428.7156,263.4322,0.7889,0.983,0.7664,0.7442,0.7829,0.003,1
94946,1260.027,485.1931,251.2239,0.8555,0.9844,0.7446,0.7515,0.7166,0.0026,1
63091,1058.692,412.6924,199.5693,0.8753,0.9611,0.762,0.7074,0.6868,0.0032,0
88074,2199.8889,460.8836,283.3717,0.7886,0.8709,0.6922,0.2287,0.7266,0.0032,1
101876,1222.046,457.9877,287.4138,0.7786,0.9717,0.7254,0.8572,0.7864,0.0028,1
65410,1032.755,412.5824,205.1103,0.8677,0.9809,0.7523,0.7707,0.6995,0.0031,0
78332,2115.9021,460.0739,254.7395,0.8327,0.855,0.6632,0.2199,0.6864,0.0033,1
79041,1139.016,450.8814,229.113,0.8613,0.9732,0.718,0.7656,0.7036,0.0029,0
77198,2368.8301,447.1309,256.2165,0.8195,0.8671,0.6566,0.1729,0.7012,0.0033,1
84256,1125.687,447.8203,241.5055,0.8421,0.9897,0.7618,0.8356,0.7314,0.0029,0
72426,1348.089,399.0111,241.9189,0.7952,0.9411,0.6248,0.5008,0.7611,0.0033,0
74171,1118.818,460.9333,205.6845,0.8949,0.9861,0.7823,0.7446,0.6667,0.0028,0
78809,1985.2679,444.1541,253.17,0.8216,0.8887,0.5882,0.2513,0.7132,0.0032,1
77937,1291.8571,432.2187,263.1985,0.7932,0.9005,0.6985,0.5868,0.7288,0.0034,0
89823,1266.802,450.1794,264.6333,0.809,0.9356,0.717,0.7034,0.7512,0.0029,1
87842,1222.0291,492.0094,228.2559,0.8859,0.9886,0.8204,0.7392,0.6797,0.0026,1
76237,1136.353,465.164,211.6298,0.8905,0.9773,0.7604,0.7419,0.6698,0.0028,0
77868,1407.272,462.8822,217.3443,0.8829,0.9556,0.7131,0.4941,0.6802,0.0028,0
92332,1138.6899,418.073,282.4232,0.7373,0.9902,0.7491,0.8949,0.8201,0.0031,1
72061,1577.652,415.266,241.8876,0.8128,0.9136,0.6954,0.3638,0.7294,0.0034,0
76747,1501.296,465.9387,217.7751,0.8841,0.9122,0.6531,0.4279,0.6709,0.0028,0
73197,1383.817,432.2907,226.5098,0.8517,0.9269,0.6413,0.4803,0.7062,0.0031,0
70277,1687.6949,442.1714,215.5658,0.8731,0.8931,0.6998,0.3101,0.6765,0.0031,0
96045,1219.256,490.9517,249.5563,0.8612,0.9919,0.7379,0.8119,0.7123,0.0026,0
71775,1701.833,414.836,244.1757,0.8084,0.9018,0.616,0.3114,0.7287,0.0034,0
78585,1081.7629,416.115,241.4718,0.8144,0.9897,0.7692,0.8439,0.7602,0.0031,1
92530,2056.0229,427.1877,295.0516,0.7232,0.929,0.7498,0.2751,0.8035,0.0032,1
112405,1324.533,522.2956,276.4228,0.8485,0.9838,0.7585,0.8051,0.7243,0.0025,1
70865,1981.442,426.0532,244.5283,0.8189,0.8731,0.6588,0.2268,0.705,0.0035,1
91072,1199.776,472.5024,246.7967,0.8528,0.9902,0.7607,0.795,0.7207,0.0027,1
91090,1241.655,482.3434,244.1972,0.8624,0.9797,0.7762,0.7425,0.706,0.0027,0
117822,1878.382,473.557,329.0721,0.7191,0.9496,0.753,0.4196,0.8179,0.0028,1
95005,1863.434,459.6347,274.9814,0.8013,0.9395,0.7287,0.3438,0.7567,0.0029,1
89367,1268.267,507.3129,226.3676,0.8949,0.9856,0.7587,0.6982,0.6649,0.0025,0
67543,1130.658,451.7998,193.119,0.904,0.9568,0.7381,0.6639,0.6491,0.0029,0
93374,1181.031,469.1623,254.4323,0.8402,0.9931,0.7717,0.8412,0.7349,0.0027,1
88178,1770.2791,442.576,266.8698,0.7977,0.9281,0.7341,0.3536,0.7571,0.003,1
100658,1199.985,448.7871,286.8687,0.769,0.993,0.7231,0.8784,0.7977,0.0028,1
74839,1133.668,450.0267,218.2663,0.8745,0.965,0.6936,0.7318,0.6859,0.0029,0
60287,1164.455,393.705,205.3679,0.8532,0.9185,0.6886,0.5587,0.7037,0.0034,0
62370,1025.717,403.4766,204.039,0.8627,0.9454,0.68,0.745,0.6984,0.0033,0
60519,1036.614,417.9505,187.7278,0.8934,0.9837,0.746,0.7077,0.6642,0.0031,0
63072,1943.854,396.6056,225.1856,0.8232,0.8874,0.7047,0.2098,0.7145,0.0036,0
100231,1181.7791,435.9832,294.1512,0.7381,0.9934,0.7558,0.9019,0.8194,0.0029,1
83005,1122.7841,414.8105,255.9364,0.787,0.9874,0.726,0.8274,0.7837,0.0031,1
60614,1119.3719,390.418,210.0969,0.8429,0.9428,0.681,0.6079,0.7116,0.0035,0
72328,1046.27,404.1033,230.9122,0.8207,0.9764,0.7403,0.8303,0.751,0.0032,1
69661,2078.5439,444.0122,224.1117,0.8633,0.8698,0.6746,0.2026,0.6707,0.0032,0
100391,1248.085,462.6749,284.7257,0.7882,0.968,0.7548,0.8099,0.7727,0.0028,1
72035,1285.006,422.0994,234.5674,0.8314,0.9221,0.7055,0.5482,0.7175,0.0033,0
79408,2382.7271,467.5201,258.8673,0.8327,0.8612,0.6831,0.1758,0.6801,0.0033,0
68290,1236.179,439.6265,200.1081,0.8904,0.9673,0.7652,0.5616,0.6707,0.0029,0
72671,1183.064,445.4609,212.2045,0.8792,0.9734,0.7243,0.6525,0.6829,0.0029,0
97495,2725.947,468.5151,297.1961,0.7731,0.8712,0.7119,0.1649,0.752,0.003,1
73946,1306.459,455.3872,209.0019,0.8885,0.9596,0.744,0.5444,0.6738,0.0028,0
77119,1135.411,473.295,209.4061,0.8968,0.991,0.7429,0.7517,0.6621,0.0027,0
93543,1556.7419,467.6827,266.8364,0.8213,0.9359,0.7561,0.4851,0.7379,0.0029,1
79982,1218.16,468.519,220.3987,0.8824,0.9689,0.6927,0.6773,0.6811,0.0028,0
91087,1909.657,436.7993,281.7704,0.7641,0.9235,0.7115,0.3139,0.7797,0.0031,1
83517,1281.6591,462.5503,234.7448,0.8617,0.9644,0.7578,0.6389,0.705,0.0028,0
87710,2547.3,461.9934,259.4555,0.8274,0.9109,0.7221,0.1699,0.7233,0.003,1
86261,1156.8521,456.5374,241.3351,0.8489,0.9878,0.6689,0.81,0.7259,0.0028,1
76258,2243.6179,465.1225,253.6346,0.8382,0.7976,0.6227,0.1904,0.6699,0.0033,0
77225,1909.5909,443.3553,256.3559,0.8159,0.8581,0.6479,0.2661,0.7073,0.0033,0
85969,2345.6279,421.6958,291.1149,0.7235,0.8702,0.7033,0.1964,0.7846,0.0034,0
82148,1233.542,485.0299,220.6042,0.8906,0.9609,0.7492,0.6784,0.6668,0.0027,0
91065,1180.948,459.1751,255.8426,0.8304,0.9748,0.761,0.8205,0.7416,0.0028,1
81306,1353.421,466.4728,227.3004,0.8732,0.9434,0.7521,0.5578,0.6897,0.0028,0
76212,1184.293,457.3364,219.2388,0.8776,0.9665,0.7664,0.6828,0.6811,0.0029,0
80033,1820.825,432.656,260.9348,0.7977,0.9007,0.6782,0.3033,0.7378,0.0033,1
106889,1267.8781,506.6975,269.9413,0.8463,0.9936,0.7505,0.8356,0.7281,0.0025,1
86409,1345.272,381.4589,292.9682,0.6404,0.9546,0.7862,0.6,0.8695,0.0034,1
101198,2577.3501,462.1474,304.6206,0.752,0.9135,0.7028,0.1914,0.7767,0.003,1
89898,2532.0271,471.0031,270.694,0.8184,0.876,0.6604,0.1762,0.7183,0.003,1
94948,1184.8521,456.392,267.6631,0.81,0.9908,0.7605,0.8499,0.7618,0.0028,1
82130,1169.217,466.5165,230.6381,0.8692,0.9712,0.778,0.755,0.6932,0.0028,0
84557,1138.902,416.459,261.965,0.7774,0.9773,0.6752,0.8192,0.7879,0.0031,1
79538,1222.442,465.5429,225.9824,0.8743,0.9577,0.7045,0.6688,0.6836,0.0028,0
69281,1858.311,429.6525,220.8217,0.8578,0.8981,0.7029,0.2521,0.6913,0.0032,0
80428,1528.296,464.1943,224.5781,0.8752,0.9721,0.7409,0.4327,0.6894,0.0028,0
62840,1197.223,379.452,218.2999,0.8179,0.9736,0.7358,0.5509,0.7454,0.0035,0
73158,1987.899,474.9973,274.9922,0.8154,0.7669,0.5925,0.2326,0.6425,0.0038,1
62040,1254.078,387.2148,233.2208,0.7983,0.863,0.6587,0.4957,0.7258,0.0038,0
79209,1251.63,391.5358,262.6503,0.7416,0.9624,0.6968,0.6354,0.8111,0.0033,1
93340,1290.415,511.8364,235.6817,0.8877,0.971,0.7512,0.7044,0.6735,0.0025,0
72353,1711.048,425.3286,243.441,0.82,0.8778,0.6734,0.3106,0.7136,0.0034,0
85339,1373.15,441.409,247.7803,0.8276,0.9743,0.7246,0.5688,0.7468,0.0029,1
80745,1522.308,455.2902,232.7997,0.8594,0.9313,0.7131,0.4378,0.7042,0.0029,0
94442,1688.476,444.9857,272.5977,0.7904,0.976,0.7442,0.4163,0.7793,0.0029,1
71304,1732.4041,417.6022,239.2083,0.8197,0.8708,0.679,0.2986,0.7215,0.0034,0
75669,1436.559,415.8894,239.3196,0.8178,0.9406,0.7388,0.4608,0.7463,0.0032,0
81632,1301.9969,445.4909,235.2594,0.8492,0.9739,0.7546,0.6051,0.7237,0.0029,1
60808,1542.349,385.1817,218.3363,0.8238,0.9125,0.7139,0.3212,0.7224,0.0036,0
81460,1850.024,399.9521,279.8189,0.7145,0.9059,0.6371,0.2991,0.8052,0.0034,1
76093,1138.8781,424.5136,244.2908,0.8178,0.9335,0.6189,0.7372,0.7332,0.0032,1
81164,1222.931,442.9454,242.1429,0.8374,0.9392,0.7543,0.682,0.7257,0.003,0
78972,1250.7581,486.5347,210.9681,0.9011,0.9651,0.6427,0.6344,0.6517,0.0027,0
71171,1450.9399,449.7746,209.0137,0.8855,0.9437,0.6459,0.4248,0.6693,0.0029,0
77018,1966.579,473.3199,217.8002,0.8878,0.9188,0.721,0.2503,0.6616,0.0028,0
70689,2024.5959,460.4317,208.2718,0.8918,0.897,0.7161,0.2167,0.6516,0.0029,0
77892,1448.8051,436.2948,243.0868,0.8304,0.9088,0.7049,0.4663,0.7218,0.0031,0
84672,1334.7111,489.0739,221.9485,0.8911,0.9719,0.7397,0.5973,0.6714,0.0026,0
41269,1338.38,370.0265,153.0344,0.9105,0.89,0.6439,0.2895,0.6195,0.0037,0
59753,1733.895,418.0769,193.1692,0.8869,0.8756,0.6377,0.2498,0.6597,0.0032,0
84700,1655.912,449.498,246.1618,0.8367,0.9374,0.7343,0.3882,0.7306,0.0029,0
103939,1661.2729,494.7766,273.1789,0.8338,0.9538,0.7417,0.4733,0.7353,0.0026,1
94982,1258.725,505.5064,242.9167,0.877,0.9766,0.7928,0.7533,0.6879,0.0026,0
90213,1171.828,441.6582,261.9854,0.8051,0.985,0.7541,0.8256,0.7674,0.0029,1
98959,1328.33,469.5879,287.2536,0.7911,0.9078,0.688,0.7048,0.7559,0.0029,1
77197,1093.168,434.6748,230.9623,0.8472,0.9711,0.752,0.8118,0.7213,0.003,0
77239,1255.158,470.1285,217.2767,0.8868,0.947,0.7592,0.6161,0.667,0.0028,0
72772,1304.8199,485.6216,197.2223,0.9138,0.9253,0.725,0.5371,0.6268,0.0027,0
96919,1222.371,491.9507,253.8834,0.8565,0.9836,0.7459,0.8151,0.7141,0.0026,1
83498,1173.1219,424.6553,254.0485,0.8013,0.9844,0.7388,0.7624,0.7678,0.003,1
67535,1253.83,371.5269,235.661,0.7731,0.9634,0.7585,0.5398,0.7893,0.0035,0
79356,1126.0959,456.162,225.5126,0.8693,0.9888,0.777,0.7864,0.6968,0.0028,0
86284,1267.059,476.0713,237.7204,0.8664,0.9496,0.7507,0.6754,0.6962,0.0028,0
37570,1341.147,344.9283,143.1741,0.9098,0.8697,0.6135,0.2625,0.6341,0.0038,0
83355,2005.079,472.6088,239.0048,0.8627,0.8576,0.6887,0.2605,0.6893,0.0029,0
76110,1667.951,425.3492,238.6117,0.8278,0.9381,0.7722,0.3438,0.7319,0.0031,0
94203,1933.7629,509.6577,240.3101,0.8819,0.9532,0.7265,0.3166,0.6795,0.0026,0
67659,1446.428,396.5165,226.1531,0.8214,0.9134,0.7631,0.4064,0.7402,0.0033,0
78001,1133.2209,418.0582,243.2682,0.8133,0.962,0.7542,0.7633,0.7538,0.0031,1
79657,1162.9969,431.3292,239.7418,0.8313,0.9638,0.7782,0.7401,0.7383,0.003,1
69837,1159.781,437.0911,209.5185,0.8776,0.9502,0.6756,0.6524,0.6822,0.003,0
90360,1305.957,445.8581,259.071,0.8139,0.9824,0.7703,0.6658,0.7608,0.0029,1
93997,1270.949,478.1035,254.852,0.8461,0.967,0.7732,0.7313,0.7236,0.0027,1
57938,1129.9871,421.4966,181.7432,0.9023,0.9492,0.6556,0.5702,0.6444,0.0031,0
60796,2022.238,440.3689,201.6784,0.889,0.8439,0.6529,0.1868,0.6318,0.0033,0
78365,1810.199,474.379,238.5199,0.8644,0.866,0.6927,0.3005,0.6659,0.003,0
89350,1868.078,511.6949,230.4075,0.8929,0.9391,0.6749,0.3217,0.6592,0.0026,0
75288,1545.11,428.8627,230.8789,0.8427,0.9377,0.7303,0.3963,0.7219,0.0031,1
76606,1856.0699,461.8441,226.0298,0.8721,0.9232,0.7273,0.2794,0.6762,0.003,0
89368,1316.394,477.6349,250.8954,0.8509,0.9538,0.7496,0.6481,0.7062,0.0028,0
57664,1242.043,395.9021,191.1816,0.8757,0.9284,0.7336,0.4697,0.6844,0.0033,0
97016,1251.105,454.2195,278.7213,0.7896,0.9538,0.7578,0.7789,0.7738,0.0029,1
72915,1150.063,457.8339,207.0641,0.8919,0.9702,0.7252,0.6928,0.6655,0.0028,0
86580,1503.323,428.6295,267.9256,0.7806,0.926,0.7275,0.4814,0.7746,0.0031,1
66773,1309.47,435.3412,201.5894,0.8863,0.9528,0.7276,0.4894,0.6698,0.003,0
85831,1185.493,448.8785,244.3473,0.8389,0.9823,0.7485,0.7675,0.7365,0.0028,1
86915,1396.157,402.2745,290.544,0.6916,0.9229,0.7471,0.5603,0.827,0.0033,1
72798,1259.91,473.3427,212.1377,0.8939,0.905,0.6253,0.5763,0.6432,0.0029,0
86396,1796.546,498.6066,232.1015,0.885,0.8928,0.6142,0.3364,0.6652,0.0027,0
93406,1960.292,524.6296,234.7538,0.8943,0.9514,0.6805,0.3055,0.6573,0.0025,1
59297,1042.928,406.6072,200.5367,0.8699,0.8958,0.606,0.6851,0.6758,0.0034,0
83767,2379.666,419.9756,295.9873,0.7094,0.8418,0.6595,0.1859,0.7776,0.0035,1
72760,1370.8879,426.0195,226.5448,0.8469,0.9331,0.7284,0.4865,0.7145,0.0031,1
98571,2252.9561,468.4438,287.0826,0.7902,0.91,0.7287,0.244,0.7563,0.0029,1
86506,1174.406,440.5459,256.7896,0.8126,0.9578,0.7293,0.7882,0.7533,0.003,1
81164,1267.274,500.2964,209.6921,0.9079,0.9709,0.6931,0.6351,0.6426,0.0026,0
57026,1040.25,387.01,190.2948,0.8708,0.9688,0.7548,0.6622,0.6963,0.0033,0
81407,1244.441,497.262,220.6327,0.8962,0.9254,0.5527,0.6606,0.6474,0.0027,0
79004,1965.6801,470.6078,234.6889,0.8668,0.8662,0.6818,0.2569,0.6739,0.003,0
90014,1207.855,498.039,231.4844,0.8854,0.991,0.7498,0.7753,0.6797,0.0026,0
73636,2017.968,441.1263,310.9279,0.7094,0.7366,0.5035,0.2272,0.6941,0.0042,1
52670,986.601,352.5237,195.5612,0.832,0.9496,0.757,0.68,0.7346,0.0037,0
101104,1889.661,447.708,303.5615,0.735,0.9262,0.7241,0.3558,0.8014,0.003,1
93007,1225.922,497.0769,240.5184,0.8751,0.9896,0.7302,0.7777,0.6923,0.0026,1
77361,1399.844,441.3551,231.3814,0.8516,0.9545,0.6335,0.4961,0.7111,0.003,0
51626,1030.5439,381.8336,178.0177,0.8847,0.9589,0.6754,0.6109,0.6715,0.0034,0
85178,2043.08,462.0688,247.9352,0.8439,0.9123,0.7118,0.2564,0.7127,0.0029,1
74382,1105.4709,408.4984,234.6056,0.8186,0.9853,0.7684,0.7649,0.7534,0.0032,1
85437,1160.38,459.0956,237.646,0.8556,0.9915,0.7449,0.7974,0.7184,0.0028,1
74213,1158.459,437.698,224.3232,0.8587,0.9472,0.755,0.6949,0.7023,0.003,0
81090,1225.73,463.695,226.2883,0.8728,0.9629,0.6596,0.6782,0.693,0.0028,0
61736,1824.9041,400.7006,246.4584,0.7885,0.787,0.6199,0.233,0.6997,0.004,0
76680,1383.629,442.8727,223.7487,0.863,0.9624,0.7533,0.5033,0.7055,0.0029,0
69080,1713.439,434.3565,213.7013,0.8706,0.9217,0.6828,0.2957,0.6828,0.0031,0
78285,1169.6429,465.0707,218.7815,0.8824,0.9741,0.6502,0.7191,0.6789,0.0028,0
63391,1568.405,390.3396,236.7461,0.7951,0.8665,0.6394,0.3238,0.7278,0.0037,0
88620,1236.828,507.9565,230.1016,0.8915,0.9564,0.6952,0.728,0.6613,0.0026,0
80857,1263.697,474.5961,222.3807,0.8834,0.9427,0.7306,0.6363,0.6761,0.0028,0
88421,2138.689,454.0674,285.3913,0.7778,0.8616,0.6509,0.2429,0.7389,0.0032,1
82880,2466.2371,484.1747,243.805,0.864,0.8636,0.6751,0.1712,0.6709,0.0029,0
86114,1275.5,482.045,230.2585,0.8785,0.9709,0.6016,0.6652,0.6869,0.0027,0
55583,1684.0341,419.947,180.9746,0.9024,0.8917,0.6582,0.2463,0.6335,0.0033,0
82856,1126.554,445.3152,240.9795,0.8409,0.9818,0.7706,0.8204,0.7294,0.0029,0
83168,1869.397,462.2682,242.8848,0.8508,0.9215,0.6922,0.2991,0.7039,0.0029,0
70839,1257.665,449.1991,206.9799,0.8875,0.9477,0.7474,0.5628,0.6686,0.0029,0
63199,1236.666,421.4809,196.3623,0.8848,0.9622,0.589,0.5193,0.673,0.0031,0
95043,1601.894,492.0768,251.5025,0.8595,0.9537,0.7426,0.4654,0.7069,0.0026,1
96425,1347.23,513.5703,243.3371,0.8806,0.9759,0.7015,0.6676,0.6823,0.0025,0
82668,1208.691,435.6503,242.6651,0.8305,0.9791,0.6522,0.7111,0.7447,0.0029,1
77755,1969.292,452.5568,232.9896,0.8573,0.9318,0.7154,0.252,0.6953,0.003,0
77121,1205.929,457.7101,219.7576,0.8772,0.9649,0.755,0.6664,0.6846,0.0028,0
76086,2711.936,441.8464,251.9108,0.8216,0.8754,0.6389,0.13,0.7044,0.0033,1
78593,2126.448,455.6613,232.1182,0.8605,0.9297,0.5844,0.2184,0.6942,0.003,1
89930,1342.296,498.2695,253.8328,0.8605,0.889,0.7011,0.6272,0.6791,0.0028,1
69010,1833.717,432.7015,243.4541,0.8267,0.859,0.5772,0.2579,0.6851,0.0035,0
86132,1187.226,473.4576,242.1075,0.8594,0.9576,0.7376,0.7679,0.6994,0.0028,1
91962,1182.855,466.2375,253.763,0.8389,0.9923,0.7643,0.826,0.7339,0.0028,1
73688,1193.801,434.1489,239.4083,0.8342,0.9014,0.6836,0.6497,0.7055,0.0032,0
99112,2210.4651,443.2576,307.8689,0.7194,0.9177,0.716,0.2549,0.8014,0.0031,1
65727,1125.891,391.7412,218.362,0.8302,0.9686,0.6987,0.6516,0.7385,0.0033,0
64374,1039.73,419.2154,198.6272,0.8806,0.9786,0.7512,0.7483,0.6829,0.0031,0
95261,1418.5811,431.1771,288.6929,0.7428,0.9591,0.7912,0.5949,0.8077,0.003,1
73596,1193.011,450.0569,212.2176,0.8818,0.9713,0.7174,0.6498,0.6802,0.0029,0
100292,1265.077,457.1541,285.5709,0.7809,0.9634,0.7505,0.7875,0.7817,0.0028,1
75223,1086.8459,429.9362,224.6815,0.8526,0.9846,0.7717,0.8002,0.7198,0.003,0
79292,2195.6221,402.5984,331.3435,0.568,0.775,0.6201,0.2067,0.7892,0.0042,1
101136,1255.619,475.2161,271.3299,0.821,0.9888,0.7584,0.8061,0.7551,0.0027,1
29808,1687.61,339.0541,138.5344,0.9127,0.7584,0.4372,0.1315,0.5746,0.0046,0
82341,1140.282,457.2149,230.3999,0.8638,0.9882,0.7497,0.7958,0.7082,0.0028,0
68172,1283.075,439.9841,208.1023,0.8811,0.9176,0.7259,0.5204,0.6696,0.0031,0
78827,2755.0491,498.7084,233.7637,0.8833,0.8542,0.6831,0.1305,0.6353,0.003,0
71173,1650.584,394.5998,240.7359,0.7923,0.9181,0.725,0.3283,0.7629,0.0034,0
83176,1142.562,442.9907,241.2355,0.8387,0.9787,0.7657,0.8007,0.7346,0.0029,0
54660,1132.446,431.1556,175.5288,0.9134,0.8752,0.6997,0.5356,0.6119,0.0032,0
72602,2734.137,462.5924,236.962,0.8588,0.8461,0.608,0.122,0.6573,0.0033,1
77609,1185.8409,432.5506,242.5948,0.8279,0.8959,0.7368,0.6935,0.7267,0.0031,0
84775,2203.3621,460.1037,280.1624,0.7932,0.8533,0.6691,0.2194,0.7141,0.0033,1
69130,1120.014,426.3553,209.5858,0.8708,0.9761,0.6245,0.6925,0.6959,0.003,0
74584,1157.671,441.4143,225.8617,0.8592,0.9393,0.5748,0.6993,0.6981,0.003,0
60324,1851.119,367.964,216.4043,0.8088,0.9038,0.7151,0.2212,0.7532,0.0036,0
84923,1199.219,469.3299,232.0247,0.8692,0.9816,0.6558,0.7421,0.7006,0.0027,1
82936,1243.282,479.0909,225.2466,0.8826,0.9603,0.7529,0.6742,0.6783,0.0027,0
91810,1278.407,500.7131,237.9165,0.8799,0.9785,0.6398,0.7059,0.6828,0.0026,0
76106,1267.764,448.0673,226.9199,0.8623,0.9335,0.7436,0.595,0.6947,0.003,0
77211,1107.1479,442.6514,226.4557,0.8592,0.982,0.6827,0.7915,0.7083,0.0029,0
90408,2078.291,497.0739,244.3073,0.8709,0.9315,0.7609,0.263,0.6826,0.0027,0
70790,1141.761,426.3818,215.8456,0.8624,0.9627,0.7196,0.6824,0.7041,0.003,0
93411,1219.114,481.9766,249.5084,0.8556,0.9761,0.717,0.7898,0.7155,0.0027,0
72391,1166.8831,423.9207,230.1689,0.8398,0.9188,0.7542,0.6681,0.7162,0.0032,0
82043,1477.527,459.295,230.5736,0.8649,0.9653,0.7758,0.4723,0.7037,0.0028,1
75593,1631.614,441.1952,225.2464,0.8599,0.9123,0.7245,0.3568,0.7032,0.003,0
83068,1194.953,472.6163,232.1761,0.871,0.9297,0.7602,0.731,0.6881,0.0028,0
66793,2050.2749,420.0432,288.1941,0.7275,0.7598,0.5951,0.1997,0.6943,0.0043,1
93226,1181.512,465.8731,258.1971,0.8324,0.9829,0.7436,0.8392,0.7395,0.0028,1
